symbol;longName;state;country;industry;sector;fullTimeEmployees;Open0;High0;Low0;Close0;Adj Close0;Volume0;Open1;High1;Low1;Close1;Adj Close1;Volume1
TCBI;Texas Capital Bancshares, Inc.;TX;United States;Banks—Regional;Financial Services;1619.0;61.209999084472656;62.31999969482422;59.720001220703125;62.0;62.0;268600.0;62.7400016784668;64.86000061035156;62.189998626708984;64.56999969482422;64.56999969482422;352700.0
MEOH;Methanex Corporation;BC;Canada;Chemicals;Basic Materials;1489.0;33.9900016784668;34.560001373291016;33.0099983215332;33.34000015258789;33.309452056884766;386300.0;33.61000061035156;34.18000030517578;33.16999816894531;33.7400016784668;33.70908737182617;472700.0
ESTE;Earthstone Energy, Inc.;TX;United States;Oil & Gas E&P;Energy;79.0;5.269999980926514;5.449999809265137;5.199999809265137;5.429999828338623;5.429999828338623;140800.0;5.5;5.630000114440918;5.449999809265137;5.630000114440918;5.630000114440918;283300.0
SFB;;;;;;;;;;;;;;;;;;
NMI;Nuveen Municipal Income Fund, Inc.;IL;United States;Asset Management;Financial Services;;11.489999771118164;11.5600004196167;11.40999984741211;11.5;11.434003829956055;9700.0;11.550000190734863;11.5600004196167;11.380000114440918;11.510000228881836;11.443946838378906;12200.0
NVTA;Invitae Corporation;CA;United States;Diagnostics & Research;Healthcare;2100.0;49.689998626708984;52.0;48.7599983215332;51.540000915527344;51.540000915527344;3157700.0;53.06999969482422;55.31999969482422;52.47999954223633;53.619998931884766;53.619998931884766;3623900.0
BMLP;BMO Dorsey Wright MLP Index Exchange Traded Notes;;;;;;37.439998626708984;37.529998779296875;37.439998626708984;37.529998779296875;37.529998779296875;500.0;37.529998779296875;37.529998779296875;37.529998779296875;37.529998779296875;37.529998779296875;0.0
INN;Summit Hotel Properties, Inc.;TX;United States;REIT—Hotel & Motel;Real Estate;46.0;8.199999809265137;8.579999923706055;8.100000381469727;8.569999694824219;8.569999694824219;2148400.0;8.619999885559082;8.819999694824219;8.510000228881836;8.739999771118164;8.739999771118164;527900.0
FFIN;First Financial Bankshares, Inc.;TX;United States;Banks—Regional;Financial Services;1400.0;37.90999984741211;39.11000061035156;37.5;38.84000015258789;38.7409782409668;431400.0;39.310001373291016;39.56999969482422;38.68000030517578;39.470001220703125;39.36936950683594;409200.0
WNEB;Western New England Bancorp, Inc.;MA;United States;Banks—Regional;Financial Services;298.0;6.480000019073486;6.78000020980835;6.420000076293945;6.75;6.704940319061279;150500.0;6.800000190734863;6.949999809265137;6.659999847412109;6.829999923706055;6.7844061851501465;95200.0
JPST;JPMorgan Ultra-Short Income ETF;;;;;;50.77000045776367;50.790000915527344;50.77000045776367;50.790000915527344;50.72800064086914;2472800.0;50.790000915527344;50.790000915527344;50.779998779296875;50.790000915527344;50.72800064086914;3065200.0
KND;Kindred Healthcare, Inc.;;;;;;;;;;;;;;;;;
GOOG;Alphabet Inc.;CA;United States;Internet Content & Information;Communication Services;135301.0;1853.5699462890625;1922.3919677734375;1850.9300537109375;1901.3499755859375;1901.3499755859375;1602200.0;1922.56005859375;1955.760009765625;1914.489990234375;1927.510009765625;1927.510009765625;2273700.0
CDC;VictoryShares US EQ Income Enhanced Volatility Wtd ETF;;;;;;54.04999923706055;54.15999984741211;53.582000732421875;53.97999954223633;53.57514190673828;28500.0;54.43000030517578;54.97999954223633;54.279998779296875;54.58000183105469;54.1706428527832;43100.0
IPAR;Inter Parfums, Inc.;NY;United States;Household & Personal Products;Consumer Defensive;396.0;62.52000045776367;65.18000030517578;62.02000045776367;64.91999816894531;64.70052337646484;107700.0;65.33000183105469;65.91999816894531;63.81999969482422;64.4000015258789;64.18228912353516;120400.0
WTM;White Mountains Insurance Group, Ltd.;;Bermuda;Insurance—Property & Casualty;Financial Services;1366.0;1025.0;1057.550048828125;1025.0;1050.219970703125;1049.3309326171875;18100.0;1060.8399658203125;1074.47998046875;1060.8399658203125;1072.5999755859375;1071.6920166015625;12800.0
PPIH;Perma-Pipe International Holdings, Inc.;IL;United States;Building Products & Equipment;Industrials;632.0;6.190000057220459;6.289999961853027;6.050000190734863;6.139999866485596;6.139999866485596;26300.0;6.21999979019165;6.320000171661377;6.119999885559082;6.130000114440918;6.130000114440918;17100.0
WES;Western Midstream Partners, LP;TX;United States;Oil & Gas Midstream;Energy;1045.0;14.890000343322754;15.079999923706055;14.5;14.710000038146973;14.710000038146973;989700.0;15.0600004196167;15.460000038146973;14.819999694824219;15.329999923706055;15.329999923706055;1085200.0
NHC;National HealthCare Corporation;TN;United States;Medical Care Facilities;Healthcare;13432.0;64.41999816894531;64.66999816894531;62.56999969482422;64.45999908447266;64.02103424072266;46000.0;64.97000122070312;65.25;64.0199966430664;65.0199966430664;64.57722473144531;14900.0
CASH;Meta Financial Group, Inc.;SD;United States;Banks—Regional;Financial Services;1038.0;38.79999923706055;39.93000030517578;37.84000015258789;39.54999923706055;39.50752639770508;162500.0;40.130001068115234;40.93000030517578;39.630001068115234;40.81999969482422;40.77616500854492;225200.0
EOD;Wells Fargo Advantage Funds - Wells Fargo Global Dividend Opportunity Fund;CA;United States;Asset Management;Financial Services;;4.940000057220459;4.949999809265137;4.860000133514404;4.949999809265137;4.832932472229004;238200.0;4.949999809265137;5.019999980926514;4.940000057220459;5.010000228881836;4.891514301300049;262800.0
MSM;MSC Industrial Direct Co., Inc.;NY;United States;Industrial Distribution;Industrials;6200.0;78.19999694824219;79.79000091552734;78.01000213623047;79.66999816894531;79.00593566894531;364300.0;80.94000244140625;81.18000030517578;78.47000122070312;80.7699966430664;80.09676361083984;387000.0
HP;Helmerich & Payne, Inc.;OK;United States;Oil & Gas Drilling;Energy;4600.0;24.56999969482422;24.690000534057617;23.389999389648438;24.329999923706055;24.114309310913086;1478300.0;25.18000030517578;25.489999771118164;24.290000915527344;24.540000915527344;24.32244873046875;923400.0
NEWT;Newtek Business Services Corp.;FL;United States;Asset Management;Financial Services;110.0;20.829999923706055;21.489999771118164;20.809999465942383;21.280000686645508;20.888103485107422;283600.0;21.479999542236328;21.979999542236328;21.31999969482422;21.6299991607666;21.231657028198242;243100.0
SNAP;Snap Inc.;CA;United States;Internet Content & Information;Communication Services;3863.0;54.0;56.90999984741211;52.900001525878906;56.849998474121094;56.849998474121094;21208800.0;57.349998474121094;59.40999984741211;56.95000076293945;58.869998931884766;58.869998931884766;18725900.0
VBLT;Vascular Biogenics Ltd.;;Israel;Biotechnology;Healthcare;38.0;2.509999990463257;2.559999942779541;2.369999885559082;2.440000057220459;2.440000057220459;443700.0;2.5;2.5;2.319999933242798;2.390000104904175;2.390000104904175;297100.0
CNBKA;Century Bancorp, Inc.;MA;United States;Banks—Regional;Financial Services;418.0;79.11000061035156;83.5;79.11000061035156;82.16000366210938;82.16000366210938;16000.0;83.0;83.91000366210938;82.23999786376953;82.5;82.5;15300.0
MET;MetLife, Inc.;;Qatar;Insurance—Life;Financial Services;;48.459999084472656;48.59000015258789;47.689998626708984;48.470001220703125;48.01838684082031;4566900.0;49.0;49.540000915527344;48.720001220703125;48.93000030517578;48.474098205566406;5190100.0
GEN;Genesis Healthcare, Inc.;;;;;;0.6700000166893005;0.7599999904632568;0.6600000262260437;0.7400000095367432;0.7400000095367432;10476700.0;0.7300000190734863;0.75;0.6700000166893005;0.7300000190734863;0.7300000190734863;3756600.0
TECH;Bio-Techne Corporation;MN;United States;Biotechnology;Healthcare;2300.0;330.17999267578125;341.7900085449219;328.20001220703125;340.07000732421875;339.79119873046875;185800.0;357.95001220703125;399.8299865722656;357.95001220703125;376.760009765625;376.45111083984375;521600.0
EGO;Eldorado Gold Corporation;BC;Canada;Gold;Basic Materials;;11.760000228881836;11.880000114440918;11.300000190734863;11.569999694824219;11.569999694824219;3644800.0;11.199999809265137;11.359999656677246;11.050000190734863;11.329999923706055;11.329999923706055;2423000.0
USCR;U.S. Concrete, Inc.;TX;United States;Building Materials;Basic Materials;2967.0;44.630001068115234;47.630001068115234;44.54999923706055;47.31999969482422;47.31999969482422;194400.0;47.66999816894531;48.41999816894531;46.58000183105469;47.33000183105469;47.33000183105469;195000.0
FWONA;Formula One Group;CO;United States;Broadcasting;Communication Services;;36.59000015258789;38.279998779296875;36.59000015258789;38.0;38.0;149200.0;38.380001068115234;39.33000183105469;38.20000076293945;38.77000045776367;38.77000045776367;111100.0
CDR;Cedar Realty Trust, Inc.;NY;United States;REIT—Retail;Real Estate;63.0;10.84000015258789;10.949999809265137;10.380000114440918;10.5600004196167;10.502731323242188;34800.0;10.640000343322754;11.260000228881836;10.640000343322754;11.109999656677246;11.049748420715332;40600.0
ROGS;Hartford Multifactor Global Small Cap ETF;;;;;;;;;;;;;;;;;
CDTX;Cidara Therapeutics, Inc.;CA;United States;Biotechnology;Healthcare;79.0;2.450000047683716;2.6050000190734863;2.380000114440918;2.5899999141693115;2.5899999141693115;615900.0;2.630000114440918;2.6710000038146973;2.4749999046325684;2.6600000858306885;2.6600000858306885;399400.0
HPI;John Hancock Preferred Income Fund;MA;United States;Asset Management;Financial Services;;18.559999465942383;18.700000762939453;18.559999465942383;18.670000076293945;18.32292938232422;71700.0;18.700000762939453;18.8700008392334;18.700000762939453;18.780000686645508;18.430885314941406;72600.0
NC;NACCO Industries, Inc.;OH;United States;Thermal Coal;Energy;500.0;23.8799991607666;25.450000762939453;23.75;24.5;24.312137603759766;14400.0;24.799999237060547;27.030000686645508;24.010000228881836;25.31999969482422;25.125850677490234;37200.0
DHT;DHT Holdings, Inc.;;Bermuda;Oil & Gas Midstream;Energy;18.0;5.380000114440918;5.429999828338623;5.289999961853027;5.380000114440918;5.336822032928467;1854000.0;5.449999809265137;5.449999809265137;5.320000171661377;5.420000076293945;5.376500606536865;1715400.0
GWRS;Global Water Resources, Inc.;AZ;United States;Utilities—Regulated Water;Utilities;79.0;16.149999618530273;16.222000122070312;15.970000267028809;16.15999984741211;16.116302490234375;28900.0;16.25;16.760000228881836;16.1200008392334;16.600000381469727;16.55511474609375;34100.0
VMOT;Alpha Architect Value Momentum Trend ETF;;;;;;27.21500015258789;27.45400047302246;27.21500015258789;27.45400047302246;27.45400047302246;2800.0;27.610000610351562;27.783000946044922;27.610000610351562;27.783000946044922;27.783000946044922;200.0
COL;Rockwell Collins, Inc.;;;;;;47.0;47.0;47.0;47.0;47.0;25.0;46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;46.900001525878906;22.0
QADB;QAD Inc.;CA;United States;Software—Application;Technology;;42.0;45.4900016784668;42.0;45.4900016784668;45.4900016784668;3700.0;45.4900016784668;45.4900016784668;45.4900016784668;45.4900016784668;45.4900016784668;0.0
PACW;PacWest Bancorp;CA;United States;Banks—Regional;Financial Services;1700.0;30.020000457763672;31.239999771118164;30.020000457763672;31.06999969482422;30.861419677734375;1009400.0;31.729999542236328;32.439998626708984;31.56999969482422;31.860000610351562;31.6461181640625;1459400.0
CE;Celanese Corporation;TX;United States;Chemicals;Basic Materials;7658.0;123.63999938964844;124.66999816894531;120.93000030517578;122.66999816894531;122.01483154296875;1330000.0;124.29000091552734;125.73999786376953;122.02999877929688;125.0199966430664;124.35227966308594;1281200.0
WTT;Wireless Telecom Group, Inc.;NJ;United States;Communication Equipment;Technology;150.0;1.9500000476837158;1.9600000381469727;1.8799999952316284;1.8899999856948853;1.8899999856948853;52100.0;1.7599999904632568;1.909999966621399;1.690000057220459;1.909999966621399;1.909999966621399;140700.0
APH;Amphenol Corporation;CT;United States;Electronic Components;Technology;80000.0;63.0;63.92499923706055;62.05500030517578;62.814998626708984;62.67334747314453;4831400.0;63.71500015258789;64.25;63.28499984741211;63.4900016784668;63.346824645996094;2300000.0
BYD;Boyd Gaming Corporation;NV;United States;Resorts & Casinos;Consumer Cyclical;14284.0;45.650001525878906;46.52000045776367;45.36000061035156;46.11000061035156;46.11000061035156;825800.0;47.380001068115234;48.47999954223633;46.439998626708984;47.88999938964844;47.88999938964844;881700.0
IGEB;iShares Edge Investment Grade Enhanced Bond ETF;;;;;;54.540000915527344;54.599998474121094;54.5;54.5890007019043;54.334903717041016;14800.0;54.459999084472656;54.529998779296875;54.459999084472656;54.49599838256836;54.242332458496094;7700.0
PEN;Penumbra, Inc.;CA;United States;Medical Devices;Healthcare;3300.0;277.19000244140625;277.19000244140625;253.85000610351562;253.86000061035156;253.86000061035156;760800.0;256.0;258.5;244.10000610351562;249.1300048828125;249.1300048828125;616800.0
CIEN;Ciena Corporation;MD;United States;Communication Equipment;Technology;7042.0;53.790000915527344;55.150001525878906;52.91999816894531;54.86000061035156;54.86000061035156;1539000.0;54.9900016784668;55.060001373291016;53.189998626708984;53.7400016784668;53.7400016784668;2331700.0
TGI;Triumph Group, Inc.;PA;United States;Aerospace & Defense;Industrials;9989.0;11.199999809265137;11.239999771118164;10.529999732971191;11.239999771118164;11.239999771118164;691000.0;11.5;11.930000305175781;11.220000267028809;11.8100004196167;11.8100004196167;1034400.0
MAN;ManpowerGroup Inc.;WI;United States;Staffing & Employment Services;Industrials;25000.0;88.93000030517578;89.80999755859375;87.37000274658203;89.7699966430664;89.7699966430664;393300.0;89.44999694824219;89.9000015258789;85.97000122070312;86.91000366210938;86.91000366210938;676700.0
ENLC;EnLink Midstream, LLC;TX;United States;Oil & Gas Midstream;Energy;1069.0;3.9600000381469727;3.9600000381469727;3.7100000381469727;3.809999942779541;3.809999942779541;2380800.0;3.9000000953674316;3.940000057220459;3.809999942779541;3.9000000953674316;3.9000000953674316;1715600.0
HSC;Harsco Corporation;PA;United States;Specialty Industrial Machinery;Industrials;11900.0;16.829999923706055;17.450000762939453;16.520000457763672;17.360000610351562;17.360000610351562;288500.0;17.780000686645508;17.860000610351562;17.170000076293945;17.6299991607666;17.6299991607666;258200.0
HBMD;Howard Bancorp, Inc.;MD;United States;Banks—Regional;Financial Services;235.0;12.149999618530273;12.149999618530273;11.739999771118164;11.800000190734863;11.800000190734863;33800.0;12.039999961853027;12.199999809265137;11.859999656677246;12.069999694824219;12.069999694824219;35600.0
IID;Voya International High Dividend Equity Income Fund;;;;;;5.199999809265137;5.21999979019165;5.190000057220459;5.199999809265137;5.170840740203857;49200.0;5.190000057220459;5.25;5.190000057220459;5.230000019073486;5.2006731033325195;54900.0
FPP;;;;;;;;;;;;;;;;;;
NDRO;Enduro Royalty Trust;;;;;;;;;;;;;;;;;
L;Loews Corporation;NY;United States;Insurance—Property & Casualty;Financial Services;12200.0;45.630001068115234;46.15999984741211;45.16999816894531;45.880001068115234;45.82158660888672;667200.0;46.22999954223633;46.4900016784668;45.619998931884766;46.16999816894531;46.11121368408203;673200.0
SBSI;Southside Bancshares, Inc.;TX;United States;Banks—Regional;Financial Services;832.0;31.3700008392334;32.11000061035156;31.0;31.829999923706055;31.535873413085938;117600.0;32.31999969482422;32.7400016784668;31.90999984741211;32.41999816894531;32.120418548583984;103400.0
VVC;Vectren Corporation;;;;;;;;;;;;;;;;;
SSNI;;;;;;;;;;;;;;;;;;
VIRC;Virco Mfg. Corporation;CA;United States;Furnishings, Fixtures & Appliances;Consumer Cyclical;825.0;2.7300000190734863;2.890000104904175;2.690000057220459;2.869999885559082;2.869999885559082;21500.0;2.9000000953674316;2.9100000858306885;2.809999942779541;2.880000114440918;2.880000114440918;7300.0
NPV;Nuveen Virginia Quality Municipal Income Fund;IL;United States;Asset Management;Financial Services;;15.989999771118164;15.989999771118164;15.789999961853027;15.789999961853027;15.693434715270996;35800.0;15.760000228881836;16.0;15.760000228881836;15.8100004196167;15.713313102722168;23000.0
YELP;Yelp Inc.;CA;United States;Internet Content & Information;Communication Services;3900.0;33.22999954223633;33.88999938964844;33.08000183105469;33.709999084472656;33.709999084472656;991900.0;34.06999969482422;34.599998474121094;33.130001068115234;34.40999984741211;34.40999984741211;1044700.0
LTXB;LegacyTexas Financial Group, Inc.;;;;;;;;;;;;;;;;;
LMHB;Legg Mason, Inc. JR SUB NT 56;;;;;;;;;;;;;;;;;
BWA;BorgWarner Inc.;MI;United States;Auto Parts;Consumer Cyclical;49700.0;42.209999084472656;42.52000045776367;41.47999954223633;42.08000183105469;41.92142105102539;3116700.0;42.459999084472656;42.540000915527344;41.29999923706055;41.34000015258789;41.184207916259766;2003600.0
SKM;SK Telecom Co.,Ltd;;South Korea;Telecom Services;Communication Services;;24.5;24.549999237060547;24.309999465942383;24.459999084472656;24.459999084472656;240900.0;24.469999313354492;24.670000076293945;24.34000015258789;24.649999618530273;24.649999618530273;212000.0
NYT;The New York Times Company;NY;United States;Publishing;Communication Services;4700.0;49.66999816894531;50.33000183105469;48.529998779296875;49.779998779296875;49.710487365722656;1412400.0;49.79999923706055;51.27000045776367;48.959999084472656;50.689998626708984;50.61921691894531;1501000.0
STON;StoneMor Inc.;PA;United States;Personal Services;Consumer Cyclical;1476.0;2.8499999046325684;3.049999952316284;2.809999942779541;2.9700000286102295;2.9700000286102295;251300.0;3.0899999141693115;3.0899999141693115;2.9200000762939453;3.0;3.0;110100.0
CRBP;Corbus Pharmaceuticals Holdings, Inc.;MA;United States;Biotechnology;Healthcare;76.0;1.9600000381469727;2.259999990463257;1.8200000524520874;2.2300000190734863;2.2300000190734863;36956800.0;2.450000047683716;2.799999952316284;2.0;2.5799999237060547;2.5799999237060547;67144100.0
BUI;BlackRock Utilities, Infrastructure & Power Opportunities Trust;DE;United States;Asset Management;Financial Services;;25.889999389648438;26.09000015258789;25.579999923706055;25.729999542236328;25.4830265045166;49300.0;25.860000610351562;26.100000381469727;25.510000228881836;25.6299991607666;25.383983612060547;107700.0
DWPP;First Trust Dorsey Wright People's Portfolio ETF;;;;;;28.48200035095215;28.68199920654297;28.48200035095215;28.606000900268555;28.539451599121094;500.0;29.0;29.0;29.0;29.0;28.932533264160156;900.0
VNOM;Viper Energy Partners LP;TX;United States;Oil & Gas Midstream;Energy;;13.619999885559082;14.449999809265137;13.539999961853027;14.15999984741211;14.03118896484375;555100.0;14.289999961853027;14.630000114440918;14.154000282287598;14.1899995803833;14.06091594696045;503400.0
FWRD;Forward Air Corporation;TN;United States;Integrated Freight & Logistics;Industrials;3774.0;72.31999969482422;73.19999694824219;70.93000030517578;72.7300033569336;72.55557250976562;110600.0;73.66000366210938;75.7699966430664;72.91000366210938;75.05000305175781;74.87000274658203;101300.0
LGF-B;Lions Gate Entertainment Corp.;CA;United States;Entertainment;Communication Services;1443.0;12.520000457763672;12.670000076293945;12.204999923706055;12.529999732971191;12.529999732971191;1270600.0;12.729999542236328;12.729999542236328;11.949000358581543;12.25;12.25;1088900.0
AQMS;Aqua Metals, Inc.;NV;United States;Waste Management;Industrials;21.0;5.980000019073486;6.0;5.320000171661377;5.639999866485596;5.639999866485596;3636900.0;5.764999866485596;5.880000114440918;5.585000038146973;5.739999771118164;5.739999771118164;2968700.0
OEUH;O'Shares FTSE Europe Qual Div Hdgd ETF;;;;;;;;;;;;;;;;;
SNAK;;;;;;;;;;;;;;;;;;
NES;Nuverra Environmental Solutions, Inc.;AZ;United States;Waste Management;Industrials;517.0;2.6700000762939453;2.7899999618530273;2.6010000705718994;2.7300000190734863;2.7300000190734863;55100.0;2.753999948501587;2.8499999046325684;2.680000066757202;2.759999990463257;2.759999990463257;61900.0
SBR;Sabine Royalty Trust;TX;United States;Oil & Gas E&P;Energy;;30.0;30.329999923706055;29.790000915527344;30.010000228881836;29.675403594970703;31200.0;30.329999923706055;30.389999389648438;29.709999084472656;29.709999084472656;29.378747940063477;38400.0
DPW;Ault Global Holdings, Inc.;NV;United States;Electrical Equipment & Parts;Industrials;201.0;4.71999979019165;4.760000228881836;4.369999885559082;4.579999923706055;4.579999923706055;4589900.0;4.639999866485596;4.889999866485596;4.429999828338623;4.670000076293945;4.670000076293945;8398200.0
GDV;The Gabelli Dividend & Income Trust;NY;United States;Asset Management;Financial Services;;21.760000228881836;21.920000076293945;21.510000228881836;21.8799991607666;21.67605209350586;161400.0;22.100000381469727;22.239999771118164;22.020000457763672;22.020000457763672;21.81475067138672;176200.0
CNC;Centene Corporation;MO;United States;Healthcare Plans;Healthcare;71300.0;60.25;60.709999084472656;59.470001220703125;59.599998474121094;59.599998474121094;3044400.0;60.36000061035156;61.150001525878906;59.59000015258789;59.63999938964844;59.63999938964844;2687600.0
SWIN;ALPS/Dorsey Wright Sector Momentum ETF;;;;;;;;;;;;;;;;;
ESGS;Columbia Sustainable U.S. Equity Income ETF;;;;;;30.149999618530273;30.149999618530273;30.149999618530273;30.149999618530273;29.992399215698242;1000.0;30.489999771118164;30.75;30.440000534057617;30.440000534057617;30.2808837890625;2100.0
DS;Drive Shack Inc.;TX;United States;Leisure;Consumer Cyclical;3072.0;2.5299999713897705;2.5299999713897705;2.4100000858306885;2.440000057220459;2.440000057220459;4461300.0;2.4800000190734863;2.4800000190734863;2.359999895095825;2.4100000858306885;2.4100000858306885;5179400.0
KIO;KKR Income Opportunities Fund;CA;United States;Asset Management;Financial Services;;14.710000038146973;14.789999961853027;14.710000038146973;14.739999771118164;14.445975303649902;77300.0;14.800000190734863;14.850000381469727;14.800000190734863;14.819999694824219;14.524378776550293;85800.0
SCON;Superconductor Technologies Inc.;TX;United States;Semiconductor Equipment & Materials;Technology;3.0;1.4500000476837158;1.850000023841858;1.3700000047683716;1.6699999570846558;1.6699999570846558;102900.0;1.75;1.7999999523162842;1.5;1.600000023841858;1.600000023841858;111800.0
CLYH;iShares Interest Rt Hdg 10+Yr CrdtBd ETF;;;;;;;;;;;;;;;;;
RRGB;Red Robin Gourmet Burgers, Inc.;CO;United States;Restaurants;Consumer Cyclical;21374.0;26.709999084472656;27.270000457763672;25.600000381469727;26.610000610351562;26.610000610351562;333500.0;27.0;27.079999923706055;25.459999084472656;26.270000457763672;26.270000457763672;300500.0
VKTXW;;;;;;;;;;;;;;;;;;
